stop_id,quantidade_ocorrencias,stop_lat,stop_lon
1008O00022S0,80,-22.91013,-43.205583
2032O00028C0,78,-22.908498,-43.209965
1005O00030S0,69,-22.900515,-43.177892
1008O00005S0,53,-22.908619,-43.201048
3083O00083C0,53,-22.879495,-43.332542
3083O00082C0,52,-22.877572,-43.335695
3082O00015C0,49,-22.880945,-43.324178
3065O00046C1,48,-22.887427,-43.284126
4128O00172C0,47,-23.0065,-43.309209
3066O00060C1,47,-22.88522,-43.2901
3066O00059C1,47,-22.886637,-43.287836
3066O00058C1,46,-22.88708,-43.28657
1012O00009C1,46,-22.88533,-43.25221
1012O00032C0,46,-22.897413,-43.236747
1158O00001C0,46,-22.885926,-43.228785
1012O00033C0,45,-22.89618,-43.23688
3063O00014C0,44,-22.904107,-43.275817
1012O00034C0,44,-22.89443,-43.23866
3082O00013C1,44,-22.8828,-43.32159
1010O00130C1,44,-22.900021,-43.211165
3070O00006C1,44,-22.88538,-43.30128
3069O00011C1,44,-22.88639,-43.30314
3079O00010C1,43,-22.88353,-43.31986
1005O00180C0,43,-22.90664,-43.18006
3082O00014C1,43,-22.88227,-43.3239
3071O00036C1,43,-22.882097,-43.292739
ejlo,42,-22.89211,-43.214487
3063O00013C9,42,-22.904487,-43.27298
4128O00057C0,42,-22.999349,-43.35729
4128O00109C0,41,-23.00633,-43.312271
4128O00139C0,41,-23.007424,-43.306098
3039O00008C0,41,-22.87796,-43.24145
3039O00038C0,41,-22.884608,-43.236203
3083O00035C0,41,-22.87924,-43.34165
1010O00021C0,41,-22.89479,-43.21542
3079O00012C1,41,-22.884551,-43.315317
3053O00009C1,41,-22.878595,-43.266048
3082O00054C0,41,-22.881225,-43.329656
3082O00041C1,41,-22.882414,-43.327022
3065O00044C1,40,-22.88727,-43.28219
2024O00026S0,40,-22.963709,-43.178321
1012O00044C0,40,-22.89067,-43.24193
3065O00045C1,40,-22.886308,-43.279923
3069O00013C1,40,-22.88614,-43.30788
5o6j,40,-22.906503,-43.17581
3069O00014C1,40,-22.8852,-43.31011
3069O00012C1,40,-22.88659,-43.306
3039O00009C0,40,-22.88592,-43.23489
3079O00011C1,40,-22.88489,-43.31306
1005O00189C0,39,-22.90843,-43.17465
1012O00008C1,39,-22.887018,-43.250415
3064O00002C0,39,-22.88744,-43.2864
3082O00007C0,39,-22.88058,-43.32313
3083O00012C0,39,-22.87903,-43.33149
2035O00078C0,39,-22.909899,-43.22033
3082O00017C0,39,-22.881116,-43.330479
1012O00035C9,39,-22.898993,-43.239452
1012O00043C0,39,-22.891622,-43.240485
3082O00010C0,39,-22.87782,-43.32906
1012O00036C9,38,-22.89905,-43.23663
3083O00017C0,38,-22.87777,-43.336183
3082O00009C0,38,-22.87774,-43.3268
2031O00013C0,37,-22.99468,-43.25777
1005O00181C0,37,-22.90649,-43.17764
djub,37,-22.996211,-43.260525
2033O00186C0,37,-22.921477,-43.219876
2020O00012C0,37,-22.952751,-43.175966
1005O00012S0,37,-22.905624,-43.193575
1005O00197C0,36,-22.905593,-43.182786
3070O00005C1,36,-22.8846,-43.29814
1005O00190C0,36,-22.909323,-43.174306
3053O00011C1,36,-22.88295,-43.2763
3053O00012C1,36,-22.88404,-43.27717
3083O00026C0,36,-22.87407,-43.33687
4128O00138C0,36,-23.007165,-43.310983
2031O00014C0,36,-22.99749,-43.26473
3076O00017C1,36,-22.83228,-43.32865
3053O00010C1,36,-22.88085,-43.27387
3082O00002C0,36,-22.88283,-43.34025
1009O00009S9,36,-22.91564,-43.20808
4128O00018C0,36,-23.000356,-43.357617
3040O00015C0,36,-22.87026,-43.24704
2035O00059C0,36,-22.910653,-43.221862
2031O00001C0,35,-22.999269,-43.269144
2031O00018C0,35,-22.992183,-43.253819
3071O00017C1,35,-22.882831,-43.29628
3071O00016C1,35,-22.88154,-43.29443
2033O00176C0,35,-22.927087,-43.235595
2031O00002C0,35,-22.99816,-43.26568
2033O00175C0,35,-22.928422,-43.2364
